response,share,year,question
"Put pennies in pocket, purse, or wallet",72.2,2019,"When you receive pennies as change, what do you do with them most of the time?"
Leave pennies with cashier,9.6,2019,"When you receive pennies as change, what do you do with them most of the time?"
"Give pennies to charity box, take/leave penny, or tip jar",18.3,2019,"When you receive pennies as change, what do you do with them most of the time?"
"Put pennies in pocket, purse, or wallet",70.2,2020,"When you receive pennies as change, what do you do with them most of the time?"
Leave pennies with cashier,10.7,2020,"When you receive pennies as change, what do you do with them most of the time?"
"Give pennies to charity box, take/leave penny, or tip jar",19.1,2020,"When you receive pennies as change, what do you do with them most of the time?"
Store at home,53.8,2019,When you keep pennies where do you put them most of the time? 
In my vehicle,13.3,2019,When you keep pennies where do you put them most of the time? 
"In my pocket, purse, or wallet",23.6,2019,When you keep pennies where do you put them most of the time? 
"I always leave pennies with cashier or tip jar, etc",9.3,2019,When you keep pennies where do you put them most of the time? 
Store at home,54.9,2020,When you keep pennies where do you put them most of the time? 
In my vehicle,14.1,2020,When you keep pennies where do you put them most of the time? 
"In my pocket, purse, or wallet",20.8,2020,When you keep pennies where do you put them most of the time? 
"I always leave pennies with cashier or tip jar, etc",10.2,2020,When you keep pennies where do you put them most of the time? 
